,trial_date,customer_name,utm,display_price,company_id
0,1920-02-24,William Anthony,organic,21,396.0
1,1921-01-04,Mark Wood,organic,43,790.0
2,2017-03-11,Mary Hampton,google,13,101.0
3,2017-06-14,Robin White,organic,39,102.0
4,2017-09-19,Keith Sparks,organic,12,103.0
5,2017-09-27,Thomas Phillips,linkedin,44,
6,2017-09-27,Dennis Brown,email_footer,45,
7,2017-09-27,Lydia Ellis,linkedin,31,
8,2017-09-27,Mrs. Kim Lopez,facebook,47,
9,2017-09-27,Alexis Sanchez,email_footer,42,
10,2017-09-27,Tamara Adkins,email_footer,47,
11,2017-09-28,Paula Chambers,google,20,
12,2017-09-28,Jesse Lawson,google,32,
13,2017-09-28,Natasha Martinez,facebook,47,
14,2017-09-29,Lisa Matthews,linkedin,49,
15,2017-09-29,Ronnie Myers,linkedin,37,
16,2017-09-29,Shelly Spencer,google,41,
17,2017-09-29,Carlos Mathews,linkedin,34,
18,2017-09-30,Edward Snyder,email_footer,27,
19,2017-09-30,David Thompson,facebook,39,
20,2017-09-30,Joseph Mayer,linkedin,33,
21,2017-09-30,James Juarez,linkedin,16,
22,2017-09-30,James Ford,organic,24,
23,2017-09-30,Christopher Rodgers,google,21,
24,2017-10-01,Alexis White,linkedin,21,
25,2017-10-01,James Walker,facebook,41,
26,2017-10-01,Erin Miller,facebook,21,
27,2017-10-01,Sheryl Ortiz,organic,42,
28,2017-10-01,Alexander Keller,facebook,14,
29,2017-10-01,Derek Lambert,google,44,
30,2017-10-01,Anna Porter,google,18,
31,2017-10-02,David Payne,email_footer,45,
32,2017-10-02,Barbara Johnson,facebook,30,
33,2017-10-02,Wayne Garcia,organic,36,
34,2017-10-02,Valerie Molina,linkedin,19,
35,2017-10-02,Susan Carroll,linkedin,24,
36,2017-10-03,Kathleen Brown,email_footer,25,
37,2017-10-03,George Vasquez,organic,36,
38,2017-10-03,Christine Hayes,organic,27,
39,2017-10-03,Robert Johnson,facebook,17,
40,2017-10-04,Michelle Richard,google,34,
41,2017-10-04,Joseph Simpson PhD,google,48,
42,2017-10-04,Kevin Spears,organic,25,
43,2017-10-04,John Mcintyre,linkedin,20,
44,2017-10-04,Lisa Flores,email_footer,31,
45,2017-10-04,Kristopher Stephens,google,35,
46,2017-10-04,Carolyn Coleman,email_footer,45,
47,2017-10-04,Justin Hernandez,google,31,
48,2017-10-04,Matthew Choi,email_footer,16,
